,deberta-v3-base-nli-only,deberta-v3-base-zeroshot-v1.1-heldout,deberta-v3-base-zeroshot-v1.1-all-33
datasets mean (w/o nli),0.62,0.707,0.84
amazonpolarity (2),0.917,0.957,0.96
imdb (2),0.873,0.936,0.945
appreviews (2),0.913,0.922,0.944
yelpreviews (2),0.951,0.974,0.983
rottentomatoes (2),0.83,0.887,0.908
emotiondair (6),0.465,0.426,0.745
emocontext (4),0.585,0.574,0.812
empathetic (32),0.313,0.373,0.527
financialphrasebank (3),0.783,0.689,0.912
banking77 (72),0.189,0.46,0.737
massive (59),0.44,0.566,0.789
wikitoxic_toxicaggreg (2),0.737,0.825,0.905
wikitoxic_obscene (2),0.773,0.916,0.926
wikitoxic_threat (2),0.835,0.952,0.967
wikitoxic_insult (2),0.796,0.91,0.916
wikitoxic_identityhate (2),0.839,0.88,0.944
hateoffensive (3),0.552,0.661,0.86
hatexplain (3),0.441,0.576,0.769
biasframes_offensive (2),0.568,0.854,0.87
biasframes_sex (2),0.854,0.87,0.918
biasframes_intent (2),0.563,0.852,0.878
agnews (4),0.773,0.8,0.905
yahootopics (10),0.536,0.577,0.728
trueteacher (2),0.514,0.495,0.824
spam (2),0.518,0.5,0.972
wellformedquery (2),0.499,0.525,0.772
manifesto (56),0.058,0.189,0.391
capsotu (21),0.252,0.64,0.725
mnli_m (2),0.924,,0.927
mnli_mm (2),0.924,,0.925
fevernli (2),0.89,,0.891
anli_r1 (2),0.794,,0.8
anli_r2 (2),0.684,,0.684
anli_r3 (2),0.662,,0.68
wanli (2),0.816,,0.818
lingnli (2),0.884,,0.884
